time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
48,0.629701847611107,-1.8094498647696,-1.2015712995095,-0.273166921542035,1.16856177238303,-0.468941808760443,0.25511022033502,0.356647459249297,-0.390544773028988,0.0178681029200499,-0.253380505372101,0.0397481922781175,0.130303275370336,-0.0899897365736757,0.247497858548967,-0.178383591648224,-0.127501967283505,0.0289565983737465
49,0.655877900328014,-1.77422437376513,-1.23941683324819,-0.272259625199305,1.14257299815865,-0.464816298890265,0.268543443365667,0.347957215120018,-0.366627881780816,0.0003896179675991,-0.266524469971372,0.0428217757078594,0.138255815397892,-0.0842714524521281,0.231729950402493,-0.171650065291583,-0.135267788930332,0.032539023015584
50,0.68343756860043,-1.7398426829074,-1.27494394842946,-0.273069762483443,1.11523055168496,-0.460364479657674,0.282787445114068,0.339740248055038,-0.344125683856802,-0.0165108519031233,-0.280458023685321,0.0462850172665227,0.146503378148199,-0.0804308164705502,0.219016539509564,-0.16673893478702,-0.143278228954408,0.0367589335588079
51,0.712463296143054,-1.70626631998729,-1.3082800532238,-0.275548214045128,1.08645437240349,-0.45554395681771,0.297868372692075,0.331824222006597,-0.322767861227518,-0.0330033944153464,-0.295201898519537,0.0502089813804812,0.154975932624785,-0.0781798802245437,0.208700179361976,-0.163435051948282,-0.151455407088941,0.0417658837684013
52,0.743039743845366,-1.67347274498294,-1.33952850951113,-0.279662028311091,1.05616276889176,-0.450304412570744,0.313803934367627,0.32406162685284,-0.302341143022812,-0.0492434851663822,-0.310767434825133,0.0546818016273447,0.163574211998835,-0.0773033425265634,0.200284224469077,-0.161656191949695,-0.159688799673263,0.0477529849068174
53,0.77525278790774,-1.64145318057017,-1.36877362618154,-0.285393607016431,1.02427353443507,-0.444585656587863,0.330600121343017,0.316323963972013,-0.282675885247425,-0.0653848227345658,-0.327152919280886,0.0598137793889712,0.172162607401077,-0.0776315234915503,0.193383989049084,-0.16144685427056,-0.167827220216188,0.0549723346886903
54,0.809188153072155,-1.61021090183302,-1.39608452344099,-0.292741171621942,0.990705471236118,-0.4383150799733,0.348247173565516,0.308498269716483,-0.263636642095054,-0.0815923817088231,-0.34433905158223,0.0657443345315039,0.180561202767132,-0.079019823004317,0.187694188549886,-0.162988353875376,-0.175669444989757,0.063756923233689
55,0.844929601471258,-1.57975977744982,-1.42151819714388,-0.301720613831932,0.955380417061304,-0.431404289660472,0.366714716861056,0.300485511475176,-0.245115421642393,-0.098057325835436,-0.362283407869768,0.0726516076494332,0.188537245402354,-0.081331280537944,0.182966877425458,-0.166625992984941,-0.182953571140815,0.0745522250715849
56,0.882556592248585,-1.55012288605409,-1.44512200567868,-0.312369007274093,0.918225880665777,-0.423744601952518,0.385946041365024,0.292200678646922,-0.227026762900061,-0.115015672510927,-0.380913784380904,0.0807659208613862,0.195796625601624,-0.084419726946755,0.178996532355619,-0.172917506110405,-0.189345335506019,0.0879625338180215
57,0.922141327580823,-1.52133103741974,-1.46693572939924,-0.324750274348077,0.879178402574057,-0.415200923317707,0.405851567386242,0.283574622600436,-0.209304020447078,-0.13277322899178,-0.400120335956173,0.090388953528902,0.201976327359243,-0.0881113122519761,0.175610522791803,-0.182711339480446,-0.194425786468472,0.104820175460457
