"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.266,-0.3402602926984781,5.037654427898894,11.16046232624836,0,42.08164515400725,-42.29981519092136,0.6733484465778521,0.2356983578911832,-1.573688737441782
0.268,-0.3394030280139322,5.021437392424888,11.22013476416295,0,42.24359900127257,-42.46468583519413,0.6722916014019465,0.2364483798050826,-1.569267419104366
0.27,-0.338549895358186,5.004903360949095,11.27938946098932,0,42.40421527157025,-42.62814305612095,0.6712395775812305,0.2371897641345916,-1.564632322168854
0.272,-0.33770090356772,4.988060095770432,11.33822953133921,0,42.56350722436026,-42.79020122634399,0.670192393668837,0.2379226056630901,-1.55978817901037
0.274,-0.3368560606159072,4.970915234116372,11.39665805675058,0,42.7214879557549,-42.9508745388618,0.669150066980991,0.2386469982461368,-1.55473965472419
0.276,-0.3360153736369757,4.953476289912489,11.45467808627483,0,42.87817040108504,-43.11017700976762,0.6681126136295665,0.2393630348197969,-1.549491347422576
0.278,-0.3351788489495013,4.935750655532683,11.51229263706134,0,43.0335673373555,-43.26812248098178,0.6670800485538591,0.240070807408686,-1.544047788563055
0.28,-0.3343464920792496,4.917745603526385,11.56950469492276,0,43.18769138567739,-43.42472462290506,0.6660523855516807,0.2407704071338423,-1.538413443312842
0.282,-0.3335183077813823,4.899468288327681,11.62631721489154,0,43.34055501366377,-43.57999693701888,0.6650296373097508,0.2414619242204284,-1.532592710945587
0.284,-0.3326943000620189,4.880925747936859,11.68273312176086,0,43.4921705378062,-43.73395275845368,0.664011815433236,0.242145448005348,-1.526589925267132
0.286,-0.3318744721995132,4.862124905590615,11.73875531061599,0,43.64255012572519,-43.88660525851351,0.6629989304748133,0.2428210669445016,-1.520409355065092
0.288,-0.3310588267648631,4.843072571397245,11.79438664735283,0,43.79170579847788,-44.03796744711714,0.6619909919629409,0.2434888686201605,-1.514055204589493
0.29,-0.3302473656419036,4.823775443963581,11.84962996918704,0,43.93964943272756,-44.18805217524872,0.6609880084295148,0.2441489397479835,-1.507531614048086
0.292,-0.3294400900467846,4.804240111992231,11.90448808515518,0,44.08639276293548,-44.33687213732649,0.6599899874368678,0.244801366184061,-1.500842660131775
0.294,-0.3286370005470723,4.784473055863854,11.95896377658916,0,44.23194738348394,-44.48443987353949,0.6589969356041777,0.2454462329317765,-1.49399235654448
0.296,-0.3278380970802861,4.764480649188462,12.01305979759938,0,44.37632475078011,-44.6307677721328,0.6580088586332218,0.2460836241486437,-1.48698465456915
0.298,-0.3270433789721126,4.744269160350416,12.06677887553631,0,44.5195361852769,-44.77586807167246,0.6570257613336031,0.2467136231529199,-1.47982344363323
0.3,-0.3262528449539529,4.723844754020654,12.12012371143379,0,44.66159287353038,-44.9197528632497,0.6560476476472547,0.2473363124303092,-1.472512551892053
0.302,-0.3254664931802124,4.703213492651448,12.1730969804593,0,44.80250587015321,-45.06243409265449,0.6550745206725023,0.2479517736404732,-1.465055746830536
0.304,-0.3246843212451446,4.682381337957403,12.22570133233885,0,44.94228609974494,-45.20392356251485,0.6541063826875437,0.248560087623455,-1.457456735865837
0.306,-0.3239063261991098,4.661354152366335,12.27793939177791,0,45.0809443588383,-45.34423293438228,0.6531432351732918,0.249161334406164,-1.449719166970998
0.308,-0.3231325045647541,4.640137700458303,12.32981375887038,0,45.21849131770971,-45.48337373080359,0.6521850788358436,0.2497555932086186,-1.441846629294665
0.31,-0.3223628523524404,4.618737650380231,12.38132700950061,0,45.3549375222624,-45.62135733733578,0.6512319136282559,0.2503429424503133,-1.433842653800092
0.312,-0.3215973650754884,4.597159575239603,12.43248169573546,0,45.49029339582053,-45.75819500453152,0.6502837387719022,0.2509234597564569,-1.425710713907201
0.314,-0.3208360377650654,4.575408954486859,12.48328034620249,0,45.62456924088337,-45.89389784989336,0.6493405527773641,0.2514972219641147,-1.417454226134776
0.316,-0.320078864984584,4.55349117527027,12.53372546645851,0,45.75777524088743,-46.02847685979539,0.6484023534647042,0.2520643051284152,-1.409076550749921
